taxon_sciname,year,catch_spp,usd_spp,usd_kg_2014
Boops boops,2014,24006.610128655677,22136302.34044555,0.922091966413133
Boreogadus saida,2014,17.635618146912776,24926.266094180763,1.413404729368347
Bothidae,2014,4165.913023523923,11856802.102736019,2.846147299711604
Bothus pantherinus,2014,82.1867592772,221886.5050513464,2.6997840893442002
Brachydeuterus auritus,2014,5283.721034444495,10114807.345476978,1.9143340989311712
Brachyura,2014,116509.34960818205,178262082.95084435,1.5300238440119627
Brama brama,2014,9573.817689436268,22322789.261413712,2.331649712323709
Bramidae,2014,3319.278945052604,6570645.176449574,1.979539919729597
Bregmaceros mcclellandi,2014,5098.7394391800035,366375.57180557767,0.07185610799999997
Brevoortia patronus,2014,348838.2977885601,135775114.3591356,0.3892207799999999
Brevoortia pectinata,2014,1834.5820555185,1049400.6989758937,0.5720107726003599
Brevoortia tyrannus,2014,163515.69124411218,239235054.7851471,1.4630709319999977
Brosme brosme,2014,17130.505691336602,32376385.997447316,1.8899842527019504
Brotula barbata,2014,4512.9088304565,8101833.610658321,1.7952575412073601
Buccinum undatum,2014,25129.998204420895,34587663.40542272,1.376349617061971
Busycon,2014,4166.499004282305,4014263.641565268,0.9634620426980613
Caesio,2014,5547.069286340373,12853990.968040781,2.3172580518677965
Caesionidae,2014,51734.17438670854,115955384.06948526,2.2413691808963385
Calamus,2014,0.1245382499,208.93041450893338,1.6776405215000005
Callinectes,2014,0.081652673,192.96711263496653,2.363267552000001
Callinectes sapidus,2014,646.407530944,1322686.3391449223,2.0462112147940155
Callorhinchus milii,2014,1055.8971084647737,1986799.61955052,1.881622369853097
Campogramma glaycos,2014,297.25,550296.779598125,1.8512927825
Cancer borealis,2014,6.92634984,7935.5586442617905,1.1457057220000009
Cancer irroratus,2014,4657.758212518697,4546023.681641107,0.9760110925085634
Cancer pagurus,2014,36956.90313729386,78098058.54845436,2.1132197754320012
Cancer productus,2014,4.410728608,12963.6360434525,2.939114417499998
Canthidermis sufflamen,2014,0.78125,2031.2499999999998,2.5999999999999996
Caproidae,2014,27412.999999999993,35033000.347464025,1.2779703187343243
Capros aper,2014,156.8136759105,106032.42262080601,0.6761682104902832
Carangidae,2014,942015.9290775497,600067083.4606593,0.6370031173976676
Carangoides,2014,6292.964347713797,22268550.035927635,3.538642332213067
Carangoides bajad,2014,139.8550123387,495366.45370367536,3.542
Carangoides coeruleopinnatus,2014,1.8065965338,4891.501155351596,2.7075780695000002
Carangoides malabaricus,2014,164.25298816032495,562437.2599892034,3.424213259610331
Carangoides talamparoides,2014,14.01811123580001,60115.44268600817,4.288412445500002
Caranx,2014,74018.9966980604,182084356.47128376,2.4599679081580303
Caranx crysos,2014,1327.459974088301,4360157.333747668,3.2845866684170444
Caranx hippos,2014,2429.4298628627994,5378578.215518715,2.2139261139980753
Caranx ignobilis,2014,6292.9662976693,21062315.707920894,3.3469614664425675
Caranx latus,2014,1739.6102554323982,4196235.018362328,2.4121696255000007
